word	ipa	language	pos	concept	label
tsunami	sunɑmi	english	noun	tsunami	1
apple	æpəl	english	noun	apple	0
rendezvous	rɑndeɪvu	english	noun	meeting	1
walk	wɔk	english	verb	walk	0
karaoke	kærioʊki	english	noun	karaoke	1
cat	kæt	english	noun	cat	0
elite	ɪlit	english	noun	elite	1
run	rʌn	english	verb	run	0
sushi	suʃi	english	noun	sushi	1
dog	dɔɡ	english	noun	dog	0
ballet	bæleɪ	english	noun	ballet	1
house	haʊs	english	noun	house	0
cuisine	kwɪzin	english	noun	cuisine	1
tree	tri	english	noun	tree	0
gourmet	ɡʊrmeɪ	english	noun	gourmet	1
river	rɪvər	english	noun	river	0
restaurant	rɛstərɑnt	english	noun	restaurant	1
bird	bɜrd	english	noun	bird	0
kindergarten	kɪndərɡɑrtən	english	noun	kindergarten	1
fish	fɪʃ	english	noun	fish	0
zeitgeist	tsaɪtɡaɪst	english	noun	zeitgeist	1
bear	bɛr	english	noun	bear	0
schadenfreude	ʃɑdənfrɔɪdə	english	noun	schadenfreude	1
chair	tʃɛr	english	noun	chair	0
algebra	ældʒəbrə	english	noun	algebra	1
table	teɪbəl	english	noun	table	1
algorithm	ælɡərɪðəm	english	noun	algorithm	1
shoe	ʃu	english	noun	shoe	0
zero	zɪroʊ	english	noun	zero	1
shirt	ʃɜrt	english	noun	shirt	0
coffee	kɔfi	english	noun	coffee	1
car	kɑr	english	noun	car	0
piano	piænoʊ	english	noun	piano	1
road	roʊd	english	noun	road	0
opera	ɑpərə	english	noun	opera	1
book	bʊk	english	noun	book	0
karma	kɑrmə	english	noun	karma	1
pen	pɛn	english	noun	pen	0
yoga	joʊɡə	english	noun	yoga	1
milk	mɪlk	english	noun	milk	0
safari	səfɑri	english	noun	safari	1
bread	brɛd	english	noun	bread	0
zebra	zibrə	english	noun	zebra	1
cloud	klaʊd	english	noun	cloud	0
kayak	kaɪæk	english	noun	kayak	1
rain	reɪn	english	noun	rain	0
igloo	ɪɡlu	english	noun	igloo	1
snow	snoʊ	english	noun	snow	0
samurai	sæmʊraɪ	english	noun	samurai	1
storm	stɔrm	english	noun	storm	0
manga	mæŋɡə	english	noun	manga	1
wind	wɪnd	english	noun	wind	0
anime	ænɪmeɪ	english	noun	anime	1
fire	faɪr	english	noun	fire	0
haiku	haɪku	english	noun	haiku	1
ice	aɪs	english	noun	ice	0
origami	ɔrɪɡɑmi	english	noun	origami	1
rock	rɑk	english	noun	rock	0
ninja	nɪndʒə	english	noun	ninja	1
earth	ɜrθ	english	noun	earth	0
futon	futɒn	english	noun	futon	1
sky	skaɪ	english	noun	sky	0
ramen	rɑmɛn	english	noun	ramen	1
hand	hænd	english	noun	hand	0
tofu	toʊfu	english	noun	tofu	1
foot	fʊt	english	noun	foot	0
bonsai	bɒnsaɪ	english	noun	bonsai	1
eye	aɪ	english	noun	eye	0
geisha	geɪʃə	english	noun	geisha	1
nose	noʊz	english	noun	nose	0
chic	ʃik	english	adjective	chic	1
mouth	maʊθ	english	noun	mouth	0
cliché	kliʃeɪ	english	noun	cliché	1
hair	hɛər	english	noun	hair	0
décor	deɪkɔr	english	noun	décor	1
arm	ɑrm	english	noun	arm	0
ensemble	ɑnsɑmbəl	english	noun	ensemble	1
leg	lɛɡ	english	noun	leg	0
façade	fəsɑd	english	noun	façade	1
heart	hɑrt	english	noun	heart	0
genre	ʒɑnrə	english	noun	genre	1
bone	boʊn	english	noun	bone	0
liaison	lieɪzɒn	english	noun	liaison	1
door	dɔr	english	noun	door	0
matinée	mætɪneɪ	english	noun	matinée	1
window	wɪndoʊ	english	noun	window	0
naïve	nɑiv	english	adjective	naïve	1
wall	wɔl	english	noun	wall	0
résumé	rɛzʊmeɪ	english	noun	résumé	1
floor	flɔr	english	noun	floor	0
silhouette	sɪluɛt	english	noun	silhouette	1
roof	ruf	english	noun	roof	0
souvenir	suvənɪr	english	noun	souvenir	1
bed	bɛd	english	noun	bed	0
doppelganger	dɒpəlɡæŋər	english	noun	doppelganger	1
mother	mʌðər	english	noun	mother	0
wanderlust	wɑndərlʌst	english	noun	wanderlust	1
father	fɑðər	english	noun	father	0
angst	æŋst	english	noun	angst	1
sister	sɪstər	english	noun	sister	0
blitz	blɪts	english	noun	blitz	1
brother	brʌðər	english	noun	brother	0
delicatessen	dɛlɪkətɛsən	english	noun	delicatessen	1
child	tʃaɪld	english	noun	child	0
ersatz	ɛrzɑts	english	noun	ersatz	1
friend	frɛnd	english	noun	friend	0
fest	fɛst	english	noun	fest	1
teacher	titʃər	english	noun	teacher	0
gesundheit	gəzʊntaɪt	english	noun	gesundheit	1
student	stjudənt	english	noun	student	1
hinterland	hɪntərlænd	english	noun	hinterland	1
morning	mɔrnɪŋ	english	noun	morning	0
kaput	kæpʊt	english	noun	kaput	1
night	naɪt	english	noun	night	0
leitmotif	laɪtmoʊtif	english	noun	leitmotif	1
day	deɪ	english	noun	day	0
poltergeist	poʊltərgaɪst	english	noun	poltergeist	1
year	jɪər	english	noun	year	0
rucksack	rʊksæk	english	noun	rucksack	1
eat	it	english	verb	eat	0
spiel	ʃpil	english	noun	spiel	1
sleep	slip	english	verb	sleep	0
uber	ubər	english	noun	uber	1
jump	dʒʌmp	english	verb	jump	0
verboten	vərboʊtən	english	verb	verboten	1
sit	sɪt	english	verb	sit	0
wunderkind	vʊndərkɪnd	english	noun	wunderkind	1
stand	stænd	english	verb	stand	0
sugar	ʃʊgər	english	noun	sugar	1
open	oʊpən	english	verb	open	0
cotton	kɒtən	english	noun	cotton	1
close	kloʊs	english	verb	close	0
magazine	mægəzin	english	noun	magazine	1
give	gɪv	english	verb	give	0
sofa	soʊfə	english	noun	sofa	1
take	teɪk	english	verb	take	0
alcohol	ælkəhɒl	english	noun	alcohol	1
make	meɪk	english	verb	make	0
giraffe	dʒəræf	english	noun	giraffe	0
read	rid	english	verb	read	0
hazard	hæzərd	english	noun	hazard	1
write	raɪt	english	verb	write	0
jar	dʒɑr	english	noun	jar	1
sing	sɪŋ	english	verb	sing	0
lemon	lɛmən	english	noun	lemon	1
dance	dæns	english	verb	dance	0
mattress	mætrəs	english	noun	mattress	1
work	wɜrk	english	verb	work	0
tariff	tærɪf	english	noun	tariff	1
learn	lɜrn	english	verb	learn	0
macho	mɑtʃoʊ	english	noun	macho	1
happy	hæpi	english	adjective	happy	0
fiesta	fiɛstə	english	noun	fiesta	1
sad	sæd	english	adjective	sad	0
siesta	siɛstə	english	noun	siesta	1
big	bɪg	english	adjective	big	0
plaza	plɑzə	english	noun	plaza	1
small	smɔl	english	adjective	small	0
patio	pɑtioʊ	english	noun	patio	1
hot	hɑt	english	adjective	hot	0
guerrilla	gərɪlə	english	noun	guerrilla	1
cold	koʊld	english	adjective	cold	0
tornado	tɔrneɪdoʊ	english	noun	tornado	1
new	nu	english	adjective	new	0
canyon	kænjən	english	noun	canyon	1
old	oʊld	english	adjective	old	0
bonanza	bənænzə	english	noun	bonanza	1
quickly	kwɪkli	english	adverb	quickly	0
burrito	bəritoʊ	english	noun	burrito	1
slowly	sloʊli	english	adverb	slowly	0
quesadilla	keɪsədijə	english	noun	quesadilla	1
always	ɔlweɪz	english	adverb	always	0
taco	tɑkoʊ	english	noun	taco	1
never	nɛvər	english	adverb	never	0
nacho	nɑtʃoʊ	english	noun	nacho	1
banana	bənænə	english	noun	banana	1
poncho	pɑntʃoʊ	english	noun	poncho	1
grass	græs	english	noun	grass	0
vigilante	vɪdʒɪlænti	english	noun	vigilante	1
flower	flaʊər	english	noun	flower	0
fresco	frɛskoʊ	english	noun	fresco	1
mountain	maʊntən	english	noun	mountain	1
studio	studioʊ	english	noun	studio	1
love	lʌv	english	verb	love	0
volcano	vɑlkeɪnoʊ	english	noun	volcano	1
think	θɪŋk	english	verb	think	0
inferno	ɪnfɜrnoʊ	english	noun	inferno	1
strong	strɔŋ	english	adjective	strong	0
stucco	stʌkoʊ	english	noun	stucco	1
weak	wik	english	adjective	weak	0
cappuccino	kæpʊtʃinoʊ	english	noun	cappuccino	1
clean	klin	english	adjective	clean	0
espresso	ɛsprɛsoʊ	english	noun	espresso	1
dream	drim	english	verb	dream	0
bravo	brɑvoʊ	english	adverb	bravo	1
build	bɪld	english	verb	build	0
